Incident ID,Country,Country_ID,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Attack_typeID
818,Russia,7,2021,DDoS,Banking,45.6,759356,Insider,Social Engineering,VPN,1,22
819,Brazil,8,2021,DDoS,Education,69.37,666096,Hacker Group,Zero-day,Encryption,9,27
820,India,2,2021,SQL Injection,Telecommunications,68.91,851981,Nation-state,Zero-day,AI-based Detection,57,111
821,Australia,6,2024,Phishing,Banking,14.97,214740,Nation-state,Unpatched Software,Encryption,57,57
822,Brazil,8,2016,Phishing,Government,35.94,372653,Hacker Group,Weak Passwords,VPN,60,32
823,India,2,2024,Phishing,Banking,64.23,903871,Nation-state,Unpatched Software,Encryption,17,57
824,India,2,2015,Malware,Education,64.29,924049,Nation-state,Social Engineering,VPN,5,74
825,Australia,6,2020,Malware,Government,98.05,193983,Nation-state,Zero-day,Antivirus,31,86
826,Russia,7,2021,Ransomware,Telecommunications,11.04,904330,Nation-state,Weak Passwords,VPN,49,110
827,India,2,2018,SQL Injection,Education,52.05,874254,Nation-state,Zero-day,Antivirus,11,89
828,Germany,4,2020,Man-in-the-Middle,Healthcare,28.81,691190,Nation-state,Unpatched Software,Firewall,27,78
829,China,1,2024,DDoS,IT,61.42,412245,Nation-state,Social Engineering,Encryption,48,14
830,France,5,2021,Man-in-the-Middle,Healthcare,53.77,302180,Insider,Weak Passwords,AI-based Detection,11,108
831,USA,10,2016,Ransomware,Government,8.21,537592,Nation-state,Social Engineering,Antivirus,11,83
832,Brazil,8,2022,SQL Injection,Retail,25.85,632061,Nation-state,Zero-day,Antivirus,2,89
833,Brazil,8,2015,DDoS,Retail,67.52,224815,Nation-state,Social Engineering,Firewall,32,49
834,India,2,2022,DDoS,IT,23.91,169310,Unknown,Weak Passwords,Encryption,36,60
835,Japan,9,2023,Man-in-the-Middle,Telecommunications,86.98,635827,Nation-state,Social Engineering,Encryption,72,73
836,UK,3,2022,Ransomware,IT,63.67,560021,Unknown,Zero-day,Encryption,43,88
837,Japan,9,2021,Man-in-the-Middle,Government,61.03,768506,Nation-state,Zero-day,AI-based Detection,11,45
838,Australia,6,2018,Phishing,Healthcare,39.94,755469,Hacker Group,Social Engineering,Antivirus,58,105
839,India,2,2022,Ransomware,Retail,74.05,205336,Hacker Group,Social Engineering,AI-based Detection,2,4
840,France,5,2020,DDoS,IT,7.52,957779,Nation-state,Social Engineering,Encryption,17,14
841,UK,3,2017,Malware,Education,29.47,85644,Hacker Group,Social Engineering,AI-based Detection,3,61
842,France,5,2019,Man-in-the-Middle,Telecommunications,75.99,561713,Insider,Unpatched Software,Firewall,31,78
843,Germany,4,2017,Phishing,Healthcare,53.57,287762,Insider,Weak Passwords,Encryption,13,95
844,India,2,2015,Phishing,Healthcare,76.08,471550,Unknown,Zero-day,VPN,5,10
845,Japan,9,2018,SQL Injection,IT,69.19,33209,Insider,Unpatched Software,AI-based Detection,66,11
846,China,1,2017,Phishing,Retail,45.83,395251,Unknown,Unpatched Software,Encryption,33,57
847,Germany,4,2019,DDoS,IT,14.77,491791,Hacker Group,Zero-day,Encryption,66,27
848,Australia,6,2016,Phishing,Healthcare,53.81,279874,Hacker Group,Unpatched Software,AI-based Detection,66,85
849,France,5,2019,Malware,IT,71.94,881326,Insider,Unpatched Software,Firewall,43,70
850,UK,3,2023,DDoS,IT,68.86,749700,Nation-state,Zero-day,AI-based Detection,35,35
851,UK,3,2022,Phishing,Government,97.56,722445,Nation-state,Weak Passwords,Firewall,10,75
852,USA,10,2023,Ransomware,Government,84.13,695841,Nation-state,Zero-day,AI-based Detection,21,115
853,USA,10,2020,SQL Injection,Government,40.95,803757,Hacker Group,Social Engineering,Firewall,33,58
854,Japan,9,2022,DDoS,IT,20.16,174510,Insider,Zero-day,AI-based Detection,60,35
855,Germany,4,2022,SQL Injection,Retail,11.51,857660,Hacker Group,Zero-day,VPN,37,36
856,UK,3,2020,SQL Injection,Banking,47.67,729265,Unknown,Zero-day,Firewall,42,119
857,India,2,2023,Phishing,Retail,38.89,836604,Hacker Group,Unpatched Software,AI-based Detection,44,85
858,China,1,2016,Malware,Government,91.69,885843,Insider,Unpatched Software,AI-based Detection,46,67
859,France,5,2015,Man-in-the-Middle,Education,17.94,808798,Unknown,Social Engineering,Encryption,60,73
860,Russia,7,2018,Man-in-the-Middle,Telecommunications,30.5,401208,Hacker Group,Unpatched Software,VPN,10,77
861,Japan,9,2021,Ransomware,Healthcare,77.33,380970,Nation-state,Weak Passwords,Encryption,44,120
862,USA,10,2021,Phishing,Healthcare,70.03,248437,Hacker Group,Social Engineering,Encryption,70,44
863,Australia,6,2024,SQL Injection,Retail,66.49,709125,Hacker Group,Weak Passwords,AI-based Detection,37,107
864,Japan,9,2018,Malware,Education,5.33,656250,Hacker Group,Social Engineering,Firewall,67,17
865,India,2,2020,Ransomware,Healthcare,10.46,32616,Unknown,Unpatched Software,Firewall,63,2
866,Australia,6,2017,Phishing,Healthcare,39.3,290846,Unknown,Weak Passwords,Firewall,3,75
867,India,2,2023,DDoS,Banking,23.83,557428,Insider,Unpatched Software,VPN,38,7
868,Japan,9,2015,DDoS,Banking,59.13,182440,Insider,Zero-day,Firewall,8,104
869,Australia,6,2021,DDoS,Government,30.24,292383,Insider,Social Engineering,Encryption,71,14
870,France,5,2017,DDoS,Government,86.82,99728,Nation-state,Unpatched Software,VPN,44,7
871,USA,10,2015,DDoS,IT,66.39,365006,Insider,Weak Passwords,VPN,47,90
872,Russia,7,2019,Ransomware,Telecommunications,61.11,605427,Nation-state,Zero-day,Encryption,33,88
873,USA,10,2022,Malware,Retail,7.65,864358,Hacker Group,Unpatched Software,VPN,11,24
874,USA,10,2016,Ransomware,Retail,9.82,610968,Unknown,Unpatched Software,Antivirus,26,71
875,China,1,2016,DDoS,IT,67.28,413150,Hacker Group,Social Engineering,Firewall,27,49
876,USA,10,2017,Malware,Education,13.14,681956,Nation-state,Social Engineering,Antivirus,35,26
877,Australia,6,2016,Man-in-the-Middle,IT,84.46,94162,Unknown,Weak Passwords,Firewall,15,116
878,France,5,2023,Man-in-the-Middle,Retail,9.43,565002,Hacker Group,Unpatched Software,Firewall,72,78
879,France,5,2017,Phishing,Retail,90.69,275185,Nation-state,Zero-day,Encryption,20,15
880,Russia,7,2021,DDoS,Retail,37.47,476758,Hacker Group,Unpatched Software,AI-based Detection,19,13
881,USA,10,2024,SQL Injection,Banking,7.2,312607,Hacker Group,Weak Passwords,Antivirus,24,72
882,Russia,7,2017,Phishing,Banking,94.15,963192,Hacker Group,Weak Passwords,VPN,7,32
883,Australia,6,2015,Malware,Healthcare,42.15,680874,Unknown,Zero-day,Antivirus,8,86
884,France,5,2018,DDoS,Government,15.71,904770,Hacker Group,Social Engineering,Antivirus,4,112
885,USA,10,2022,SQL Injection,Government,98.46,429452,Hacker Group,Weak Passwords,Antivirus,6,72
886,USA,10,2018,Ransomware,Healthcare,51.71,858128,Hacker Group,Social Engineering,Antivirus,35,83
887,China,1,2021,Malware,Education,42.26,615849,Nation-state,Unpatched Software,Encryption,44,93
888,UK,3,2019,Phishing,Education,99.45,467349,Nation-state,Zero-day,Firewall,44,48
889,France,5,2021,SQL Injection,Retail,63.74,235418,Nation-state,Weak Passwords,Encryption,28,64
890,Australia,6,2017,SQL Injection,IT,5.05,823606,Insider,Weak Passwords,Encryption,25,64
891,China,1,2020,SQL Injection,IT,89.38,923489,Nation-state,Unpatched Software,Firewall,66,65
892,USA,10,2024,Phishing,IT,58.57,630793,Hacker Group,Social Engineering,AI-based Detection,64,101
893,France,5,2015,SQL Injection,Education,65.83,691903,Unknown,Zero-day,VPN,54,36
894,UK,3,2019,Phishing,Government,79.79,133632,Hacker Group,Weak Passwords,Firewall,8,75
895,Australia,6,2017,Phishing,Banking,90.5,42278,Insider,Weak Passwords,AI-based Detection,45,43
896,Germany,4,2016,Phishing,IT,2.1,176471,Unknown,Zero-day,VPN,9,10
897,India,2,2015,SQL Injection,Telecommunications,63.72,916516,Hacker Group,Social Engineering,Encryption,68,81
898,Japan,9,2023,SQL Injection,Government,87.8,510002,Hacker Group,Social Engineering,Firewall,62,58
899,UK,3,2015,Malware,IT,82.45,435994,Nation-state,Unpatched Software,Encryption,51,93
900,India,2,2016,Ransomware,IT,66.19,537670,Hacker Group,Unpatched Software,Encryption,55,25
901,Russia,7,2022,Malware,Banking,39.62,850339,Hacker Group,Social Engineering,Firewall,50,17
902,Japan,9,2021,DDoS,Government,35.46,937562,Unknown,Zero-day,Firewall,10,104
903,France,5,2020,Malware,Government,10.62,405267,Nation-state,Unpatched Software,AI-based Detection,5,67
904,China,1,2022,DDoS,Government,80.76,346279,Unknown,Zero-day,Encryption,59,27
905,Brazil,8,2016,DDoS,Telecommunications,10.45,889928,Nation-state,Zero-day,Encryption,63,27
906,France,5,2018,SQL Injection,Healthcare,0.95,376206,Unknown,Unpatched Software,Antivirus,44,41
907,India,2,2018,Ransomware,IT,27.14,227433,Unknown,Unpatched Software,Antivirus,13,71
908,Germany,4,2023,Ransomware,Healthcare,54.79,393779,Nation-state,Weak Passwords,Encryption,39,120
909,Russia,7,2022,Ransomware,IT,41.08,529025,Insider,Unpatched Software,AI-based Detection,42,87
910,Brazil,8,2024,Man-in-the-Middle,Education,8.94,451311,Unknown,Weak Passwords,Encryption,14,113
911,India,2,2017,Ransomware,Education,98.11,677198,Unknown,Social Engineering,VPN,28,20
912,Russia,7,2024,Man-in-the-Middle,Healthcare,9.4,480988,Nation-state,Unpatched Software,Encryption,59,37
913,Australia,6,2015,Ransomware,Telecommunications,46.39,605536,Nation-state,Unpatched Software,VPN,61,56
914,Brazil,8,2018,Ransomware,Banking,30.61,910960,Nation-state,Social Engineering,Antivirus,31,83
915,China,1,2018,Ransomware,Banking,43.98,386308,Nation-state,Weak Passwords,Antivirus,3,19
916,Australia,6,2017,Man-in-the-Middle,Banking,54.38,100855,Unknown,Social Engineering,VPN,2,5
917,China,1,2023,Malware,Education,23.74,317922,Insider,Social Engineering,Antivirus,18,26
918,USA,10,2018,DDoS,IT,82.13,220618,Unknown,Weak Passwords,Firewall,59,97
919,India,2,2015,Ransomware,Telecommunications,24.7,825941,Hacker Group,Unpatched Software,VPN,54,56
920,China,1,2022,Malware,Education,60.9,331234,Unknown,Social Engineering,Antivirus,3,26
921,China,1,2020,Man-in-the-Middle,Telecommunications,14.61,855055,Hacker Group,Unpatched Software,Antivirus,59,66
922,Japan,9,2022,DDoS,Telecommunications,34.31,305329,Unknown,Unpatched Software,Firewall,40,9
923,Japan,9,2020,Phishing,Government,32.39,442923,Nation-state,Social Engineering,Encryption,57,44
924,UK,3,2015,Ransomware,Banking,79.3,893277,Unknown,Social Engineering,Firewall,15,54
925,China,1,2020,Malware,Healthcare,30.86,240532,Insider,Weak Passwords,Encryption,64,51
926,USA,10,2016,DDoS,Healthcare,93.14,947960,Nation-state,Weak Passwords,Firewall,55,97
927,Brazil,8,2018,Malware,Healthcare,52.87,437283,Insider,Zero-day,Antivirus,30,86
928,China,1,2019,Malware,Healthcare,29.61,761390,Insider,Weak Passwords,Antivirus,7,46
929,France,5,2019,Phishing,Retail,25.75,998507,Insider,Weak Passwords,AI-based Detection,15,43
930,India,2,2017,DDoS,Retail,82.17,593329,Hacker Group,Unpatched Software,AI-based Detection,62,13
931,UK,3,2019,Phishing,Banking,60.07,197590,Insider,Zero-day,Encryption,62,15
932,Japan,9,2017,Ransomware,Banking,50.75,53111,Hacker Group,Social Engineering,Antivirus,15,83
933,Australia,6,2017,Phishing,Retail,14.88,69641,Hacker Group,Unpatched Software,Firewall,54,53
934,Germany,4,2022,DDoS,IT,73.98,953770,Insider,Weak Passwords,Firewall,54,97
935,Japan,9,2023,SQL Injection,Retail,42.33,643549,Nation-state,Weak Passwords,VPN,20,117
936,Brazil,8,2022,Man-in-the-Middle,Education,77.98,899279,Insider,Zero-day,Firewall,39,33
937,India,2,2016,Ransomware,Education,8.55,857887,Unknown,Social Engineering,Firewall,44,54
938,Russia,7,2016,Phishing,Government,30.57,503775,Unknown,Zero-day,VPN,71,10
939,Japan,9,2015,SQL Injection,IT,36.98,452892,Unknown,Weak Passwords,VPN,17,117
940,Russia,7,2018,Ransomware,Healthcare,24.06,327566,Unknown,Unpatched Software,AI-based Detection,6,87
941,Australia,6,2018,Ransomware,Education,50.66,851204,Insider,Zero-day,Firewall,3,12
942,UK,3,2017,Man-in-the-Middle,Government,79.27,923309,Hacker Group,Unpatched Software,Firewall,29,78
943,Brazil,8,2023,Phishing,Banking,71.86,151590,Nation-state,Zero-day,Antivirus,30,31
944,UK,3,2022,DDoS,Education,21.01,452432,Nation-state,Unpatched Software,Firewall,8,9
945,Japan,9,2015,Ransomware,Retail,95.38,769596,Nation-state,Weak Passwords,VPN,65,110
946,Germany,4,2022,Phishing,Banking,14.79,407151,Unknown,Weak Passwords,Antivirus,37,21
947,Brazil,8,2023,DDoS,IT,45.97,312555,Nation-state,Social Engineering,AI-based Detection,67,18
948,Brazil,8,2019,Man-in-the-Middle,Government,76.39,311908,Unknown,Weak Passwords,Encryption,68,113
949,China,1,2018,Malware,Banking,68.55,59979,Insider,Zero-day,Firewall,41,50
950,Japan,9,2019,Malware,IT,9.86,233545,Unknown,Zero-day,Antivirus,55,86
951,France,5,2020,Man-in-the-Middle,Retail,89.85,722081,Hacker Group,Zero-day,VPN,33,84
952,Russia,7,2024,SQL Injection,Healthcare,76.99,873037,Nation-state,Unpatched Software,Antivirus,31,41
953,India,2,2022,Malware,IT,12.08,482213,Nation-state,Social Engineering,AI-based Detection,3,61
954,India,2,2020,Phishing,Education,39.72,512850,Hacker Group,Zero-day,Antivirus,15,31
955,China,1,2023,Man-in-the-Middle,Telecommunications,37.73,849834,Hacker Group,Zero-day,AI-based Detection,56,45
956,Brazil,8,2022,Malware,Retail,78.03,660707,Insider,Unpatched Software,Firewall,11,70
957,USA,10,2021,Ransomware,Education,6.77,697935,Unknown,Social Engineering,AI-based Detection,16,4
958,Russia,7,2019,Malware,IT,71.92,500655,Nation-state,Zero-day,AI-based Detection,8,29
959,USA,10,2020,Ransomware,IT,95.79,239343,Nation-state,Zero-day,VPN,63,91
960,China,1,2023,Phishing,Retail,90.04,143728,Unknown,Zero-day,AI-based Detection,57,23
961,USA,10,2020,Phishing,Retail,99.64,464717,Insider,Weak Passwords,VPN,27,32
962,Russia,7,2018,SQL Injection,Education,1.25,351063,Nation-state,Weak Passwords,Firewall,56,118
963,Australia,6,2015,DDoS,Government,13.96,479025,Nation-state,Zero-day,Antivirus,54,79
964,Germany,4,2021,DDoS,Banking,1.62,823004,Nation-state,Zero-day,Encryption,22,27
965,Russia,7,2021,DDoS,Education,18.47,394957,Hacker Group,Weak Passwords,Antivirus,27,39
966,France,5,2019,Phishing,Telecommunications,28.88,96640,Unknown,Social Engineering,Antivirus,60,105
967,Russia,7,2024,DDoS,Education,19.5,325634,Insider,Weak Passwords,Firewall,5,97
968,France,5,2023,SQL Injection,Government,29.63,662667,Hacker Group,Zero-day,VPN,30,36
969,USA,10,2024,Phishing,IT,57.24,107681,Unknown,Zero-day,VPN,18,10
970,Russia,7,2017,Phishing,Banking,3.2,982243,Insider,Zero-day,Encryption,6,15
971,Japan,9,2022,SQL Injection,Government,79.19,950425,Unknown,Social Engineering,Antivirus,54,8
972,Brazil,8,2017,Ransomware,Education,80.5,279808,Insider,Social Engineering,Antivirus,60,83
973,India,2,2024,SQL Injection,Telecommunications,71.2,190099,Unknown,Zero-day,AI-based Detection,15,111
974,Brazil,8,2019,Malware,Government,12.04,713035,Nation-state,Social Engineering,AI-based Detection,59,61
975,Australia,6,2016,Malware,Retail,29.05,817347,Nation-state,Weak Passwords,Antivirus,68,46
976,Germany,4,2023,Ransomware,Healthcare,28.18,707214,Unknown,Weak Passwords,AI-based Detection,11,100
977,UK,3,2016,DDoS,Retail,39.26,668780,Hacker Group,Zero-day,Firewall,33,104
978,Russia,7,2015,DDoS,Telecommunications,57.21,609196,Unknown,Social Engineering,VPN,4,22
979,USA,10,2021,Man-in-the-Middle,Telecommunications,83.88,980367,Nation-state,Unpatched Software,Firewall,3,78
980,Russia,7,2022,Man-in-the-Middle,IT,84.1,919858,Nation-state,Unpatched Software,Encryption,47,37
981,France,5,2017,DDoS,Healthcare,39.49,195459,Hacker Group,Weak Passwords,Encryption,14,60
982,Russia,7,2015,Man-in-the-Middle,Government,46.76,713342,Unknown,Weak Passwords,Encryption,36,113
983,UK,3,2019,DDoS,Banking,80.68,19007,Nation-state,Unpatched Software,VPN,29,7
984,China,1,2022,Ransomware,Government,86.56,963091,Insider,Zero-day,VPN,37,91
985,UK,3,2017,Malware,Government,66.25,726887,Hacker Group,Social Engineering,Firewall,13,17
986,Russia,7,2021,DDoS,IT,78.76,130413,Unknown,Social Engineering,Encryption,66,14
987,Germany,4,2017,Malware,Banking,97.68,906914,Hacker Group,Zero-day,AI-based Detection,15,29
988,China,1,2020,Ransomware,IT,14.94,557218,Nation-state,Zero-day,Firewall,70,12
989,Russia,7,2018,SQL Injection,Banking,59.29,380543,Unknown,Weak Passwords,VPN,26,117
990,UK,3,2022,Malware,Retail,39.55,337363,Insider,Social Engineering,VPN,2,74
991,China,1,2018,DDoS,IT,14.04,803086,Nation-state,Social Engineering,VPN,23,22
992,China,1,2024,Man-in-the-Middle,IT,63.79,195858,Hacker Group,Zero-day,Encryption,1,103
993,India,2,2019,Malware,Banking,37.03,358371,Insider,Weak Passwords,AI-based Detection,30,40
994,Australia,6,2019,Phishing,Retail,9.12,212267,Insider,Zero-day,Antivirus,14,31
995,France,5,2021,Man-in-the-Middle,Healthcare,52.04,757744,Nation-state,Zero-day,Antivirus,43,80
996,Japan,9,2017,Ransomware,Retail,59.13,747705,Insider,Unpatched Software,VPN,47,56
997,USA,10,2024,Phishing,Telecommunications,64.67,996651,Hacker Group,Weak Passwords,Encryption,69,95
998,UK,3,2015,Ransomware,Government,52.78,281905,Insider,Social Engineering,VPN,32,20
999,Brazil,8,2019,Man-in-the-Middle,Healthcare,7.44,739981,Unknown,Social Engineering,Antivirus,54,6
1000,France,5,2016,SQL Injection,Telecommunications,47.19,554448,Hacker Group,Social Engineering,Antivirus,31,8
1001,USA,10,2016,Ransomware,Healthcare,99.19,745103,Insider,Unpatched Software,Encryption,8,25
1002,India,2,2015,DDoS,Healthcare,10.94,600279,Insider,Unpatched Software,AI-based Detection,16,13
1003,Russia,7,2016,Man-in-the-Middle,IT,48.86,973654,Unknown,Unpatched Software,Encryption,23,37
1004,China,1,2016,DDoS,Telecommunications,80.48,78123,Hacker Group,Social Engineering,Antivirus,50,112
1005,UK,3,2015,Man-in-the-Middle,Government,69.96,675955,Insider,Zero-day,Antivirus,60,80
1006,China,1,2016,DDoS,IT,18.96,122866,Insider,Unpatched Software,VPN,46,7
1007,Russia,7,2018,Ransomware,Education,66.33,177570,Nation-state,Social Engineering,Encryption,72,109
1008,France,5,2024,Man-in-the-Middle,Retail,60.4,774913,Unknown,Unpatched Software,Antivirus,43,66
1009,China,1,2024,Phishing,IT,24.92,852327,Unknown,Zero-day,VPN,44,10
1010,Australia,6,2019,DDoS,IT,32.06,775033,Hacker Group,Zero-day,Antivirus,8,79
1011,China,1,2022,Phishing,Telecommunications,71.77,823093,Insider,Zero-day,Firewall,36,48
1012,France,5,2018,Phishing,Government,70.59,947445,Insider,Social Engineering,Encryption,59,44
1013,Japan,9,2018,DDoS,IT,75.34,972713,Unknown,Unpatched Software,Encryption,71,82
1014,France,5,2023,Malware,Banking,9.99,116840,Unknown,Zero-day,Firewall,51,50
1015,USA,10,2021,Ransomware,Telecommunications,91.94,710953,Unknown,Zero-day,Firewall,9,12
1016,Russia,7,2015,DDoS,IT,66.09,467190,Nation-state,Social Engineering,AI-based Detection,25,18
1017,Germany,4,2024,Phishing,Healthcare,66.73,540773,Unknown,Unpatched Software,VPN,15,1
1018,Australia,6,2018,SQL Injection,Banking,40.11,874040,Unknown,Social Engineering,Firewall,6,58
1019,Australia,6,2022,SQL Injection,Healthcare,60.71,8498,Nation-state,Weak Passwords,VPN,17,117
1020,USA,10,2016,DDoS,IT,18.48,112881,Hacker Group,Social Engineering,VPN,32,22
1021,Japan,9,2018,DDoS,IT,9.9,942725,Insider,Zero-day,VPN,56,38
1022,France,5,2024,Phishing,Education,52.03,168684,Nation-state,Unpatched Software,VPN,27,1
1023,Japan,9,2018,DDoS,Telecommunications,25.06,559274,Hacker Group,Social Engineering,Firewall,27,49
1024,UK,3,2016,Phishing,Retail,13.68,144856,Unknown,Unpatched Software,Antivirus,13,55
1025,Japan,9,2015,Malware,Banking,2.63,418914,Nation-state,Unpatched Software,Firewall,53,70
1026,Brazil,8,2024,Phishing,Retail,88.47,842945,Hacker Group,Weak Passwords,Firewall,67,75
1027,UK,3,2022,DDoS,Government,50.04,841198,Unknown,Zero-day,VPN,41,38
1028,Germany,4,2024,Phishing,Government,19.52,50054,Insider,Unpatched Software,Antivirus,24,55
1029,Brazil,8,2020,DDoS,Telecommunications,4.52,52302,Unknown,Social Engineering,VPN,58,22
1030,India,2,2015,Man-in-the-Middle,Banking,97.28,694308,Nation-state,Weak Passwords,VPN,66,3
1031,China,1,2019,Malware,Telecommunications,62.67,520232,Nation-state,Weak Passwords,Encryption,53,51
1032,Germany,4,2018,SQL Injection,Retail,46.34,575379,Unknown,Zero-day,AI-based Detection,35,111
1033,Russia,7,2023,Man-in-the-Middle,IT,26.45,850714,Hacker Group,Unpatched Software,Encryption,6,37
1034,Germany,4,2023,SQL Injection,Healthcare,14.12,403325,Hacker Group,Weak Passwords,AI-based Detection,35,107
1035,Brazil,8,2022,Phishing,Education,80.99,345577,Insider,Unpatched Software,Encryption,4,57
1036,Australia,6,2017,Man-in-the-Middle,IT,30.51,428352,Hacker Group,Unpatched Software,Firewall,41,78
1037,Brazil,8,2023,Phishing,Banking,69.45,852592,Nation-state,Zero-day,AI-based Detection,12,23
1038,USA,10,2019,SQL Injection,Education,78.12,36804,Unknown,Weak Passwords,VPN,30,117
1039,Brazil,8,2020,Phishing,Telecommunications,92.63,725707,Hacker Group,Weak Passwords,AI-based Detection,9,43
1040,Australia,6,2017,Man-in-the-Middle,Telecommunications,35.27,765929,Nation-state,Weak Passwords,Firewall,16,116
1041,Russia,7,2017,Man-in-the-Middle,Retail,17.22,242574,Nation-state,Social Engineering,Encryption,59,73
1042,USA,10,2021,SQL Injection,Education,45.52,838652,Unknown,Social Engineering,Encryption,20,81
1043,Japan,9,2018,DDoS,Telecommunications,99.04,389405,Nation-state,Weak Passwords,Antivirus,53,39
1044,Russia,7,2022,Phishing,Telecommunications,56.44,359577,Unknown,Zero-day,Encryption,38,15
1045,India,2,2022,Man-in-the-Middle,Telecommunications,73.24,943689,Insider,Zero-day,Firewall,32,33
1046,Brazil,8,2024,SQL Injection,Education,14.69,783795,Insider,Weak Passwords,AI-based Detection,43,107
1047,Germany,4,2017,DDoS,Healthcare,72.05,263506,Insider,Zero-day,Encryption,49,27
1048,Australia,6,2020,DDoS,Telecommunications,20.59,457184,Insider,Social Engineering,VPN,11,22
1049,India,2,2019,SQL Injection,Banking,68.44,186842,Nation-state,Zero-day,VPN,40,36
1050,UK,3,2018,DDoS,Banking,8.81,198929,Nation-state,Weak Passwords,AI-based Detection,41,34
1051,Japan,9,2018,SQL Injection,Retail,51.58,65700,Hacker Group,Zero-day,Encryption,28,102
1052,Brazil,8,2021,Phishing,Telecommunications,83.79,90156,Hacker Group,Unpatched Software,Antivirus,65,55
1053,Australia,6,2015,DDoS,Telecommunications,14.55,470471,Nation-state,Unpatched Software,VPN,53,7
1054,China,1,2021,Malware,Retail,20.52,33426,Unknown,Social Engineering,Antivirus,16,26
1055,Russia,7,2024,Malware,Education,83.29,143037,Insider,Unpatched Software,Firewall,47,70
1056,Germany,4,2022,Ransomware,Telecommunications,79.77,151930,Unknown,Zero-day,Encryption,4,88
1057,China,1,2018,Malware,Education,97.2,499651,Nation-state,Zero-day,Encryption,50,59
1058,Brazil,8,2017,DDoS,Education,41.63,249211,Insider,Zero-day,AI-based Detection,59,35
1059,Germany,4,2024,SQL Injection,IT,1.01,470074,Insider,Weak Passwords,Encryption,9,64
1060,Japan,9,2015,Phishing,Banking,87.5,429920,Nation-state,Zero-day,Encryption,37,15
1061,Australia,6,2019,SQL Injection,Healthcare,0.75,269314,Unknown,Social Engineering,VPN,64,96
1062,UK,3,2019,Man-in-the-Middle,Healthcare,37.16,696199,Nation-state,Weak Passwords,Encryption,42,113
1063,Russia,7,2020,Phishing,Banking,98.38,355505,Nation-state,Unpatched Software,AI-based Detection,35,85
1064,Australia,6,2023,DDoS,IT,55.94,890234,Nation-state,Unpatched Software,VPN,53,7
1065,Brazil,8,2019,Ransomware,Telecommunications,23.63,581616,Insider,Social Engineering,Encryption,1,109
1066,China,1,2021,SQL Injection,IT,39.44,155768,Nation-state,Social Engineering,AI-based Detection,19,28
1067,Australia,6,2024,Malware,Telecommunications,83.69,824298,Nation-state,Unpatched Software,Firewall,4,70
1068,UK,3,2018,Malware,Government,28.88,212533,Insider,Unpatched Software,Antivirus,71,42
1069,Brazil,8,2019,Ransomware,Banking,10.1,47737,Hacker Group,Social Engineering,Encryption,69,109
1070,Brazil,8,2018,Man-in-the-Middle,IT,47.01,940513,Unknown,Unpatched Software,Encryption,10,37
1071,Russia,7,2021,Man-in-the-Middle,Banking,18.66,292992,Insider,Zero-day,Encryption,15,103
1072,Germany,4,2024,Malware,Telecommunications,79.72,639779,Nation-state,Zero-day,Antivirus,6,86
1073,Australia,6,2019,DDoS,Banking,29.85,949862,Hacker Group,Weak Passwords,Firewall,25,97
1074,USA,10,2021,Phishing,Healthcare,0.92,260396,Hacker Group,Zero-day,Antivirus,16,31
1075,Australia,6,2024,Phishing,IT,92.48,215376,Nation-state,Social Engineering,Firewall,18,69
1076,France,5,2016,DDoS,Telecommunications,20.09,689397,Insider,Social Engineering,AI-based Detection,68,18
1077,Brazil,8,2016,SQL Injection,Education,16.24,238092,Nation-state,Zero-day,AI-based Detection,32,111
1078,India,2,2019,Phishing,Banking,18.42,289539,Nation-state,Unpatched Software,Antivirus,27,55
1079,Russia,7,2020,DDoS,Healthcare,49.02,382327,Insider,Zero-day,VPN,30,38
1080,Australia,6,2018,Phishing,Government,12.43,605810,Unknown,Zero-day,Firewall,41,48
1081,Australia,6,2019,DDoS,Banking,1.27,588345,Insider,Unpatched Software,Firewall,49,9
1082,UK,3,2019,Phishing,Government,21.58,831367,Insider,Social Engineering,Antivirus,55,105
1083,Brazil,8,2019,Man-in-the-Middle,Banking,14.64,880671,Hacker Group,Social Engineering,Firewall,66,94
1084,France,5,2023,DDoS,Retail,92.32,418211,Insider,Unpatched Software,Encryption,39,82
1085,France,5,2022,Man-in-the-Middle,Retail,31.4,264380,Insider,Zero-day,VPN,37,84
1086,Brazil,8,2017,Phishing,Banking,9.25,437974,Hacker Group,Zero-day,Encryption,20,15
1087,India,2,2021,Phishing,IT,37.1,713949,Hacker Group,Unpatched Software,Antivirus,71,55
1088,USA,10,2022,SQL Injection,IT,8.5,523164,Hacker Group,Weak Passwords,AI-based Detection,30,107
1089,UK,3,2015,DDoS,Telecommunications,85.23,193852,Insider,Zero-day,VPN,54,38
1090,UK,3,2024,DDoS,Retail,14.09,655640,Nation-state,Zero-day,Firewall,61,104
1091,France,5,2021,Phishing,IT,76.02,573328,Insider,Zero-day,AI-based Detection,10,23
1092,UK,3,2019,Malware,Government,46.27,798717,Hacker Group,Social Engineering,Encryption,10,76
1093,Brazil,8,2019,DDoS,Telecommunications,59.86,899413,Nation-state,Weak Passwords,Encryption,11,60
